Date,TrustValue
2019/11/26,116.50 
2019/11/27,117.02 
2019/11/28,117.02 
2019/11/29,115.68 
2019/12/2,114.93 
2019/12/3,116.38 
2019/12/4,115.53 
2019/12/5,115.71 
2019/12/6,114.77 
2019/12/9,110.93 
2019/12/10,111.41 
2019/12/11,110.96 
2019/12/12,111.41 
2019/12/13,112.78 
2019/12/16,113.23 
2019/12/17,113.56 
2019/12/18,115.01 
2019/12/19,113.65 
2019/12/20,113.72 
2019/12/23,115.10 
2019/12/24,114.64 
2019/12/25,115.10 
2019/12/26,114.66 
2019/12/27,114.66 
2019/12/30,114.93 
2019/12/31,119.64 
2020/1/2,122.53 
2020/1/3,144.92 
2020/1/6,150.98 
2020/1/7,150.21 
2020/1/8,145.11 
2020/1/9,156.95 
2020/1/10,192.71 
2020/1/13,201.92 
2020/1/14,204.80 
2020/1/15,204.78 
2020/1/16,202.54 
2020/1/17,205.35 
2020/1/20,209.56 
2020/1/30,185.83 
2020/1/31,167.61 
2020/2/3,163.74 
2020/2/4,165.88 
2020/2/5,167.37 
2020/2/6,173.93 
2020/2/7,169.62 
2020/2/10,167.44 
2020/2/11,172.42 
2020/2/12,174.64 
2020/2/13,178.02 
2020/2/14,175.78 
2020/2/17,176.60 
2020/2/18,185.89 
2020/2/19,193.69 
2020/2/20,196.91 
2020/2/21,200.64 
2020/2/24,197.92 
2020/2/25,208.51 
2020/2/26,207.19 
2020/2/27,209.11 
2020/3/2,209.40 
2020/3/3,216.46 
2020/3/4,221.88 
2020/3/5,227.64 
2020/3/6,224.80 
2020/3/9,281.98 
2020/3/10,306.79 
2020/3/11,330.97 
2020/3/12,331.75 
2020/3/13,317.22 
2020/3/16,299.24 
2020/3/17,276.95 
2020/3/18,279.52 
2020/3/19,275.36 
2020/3/20,287.08 
2020/3/23,299.39 
2020/3/24,270.23 
2020/3/25,301.18 
2020/3/26,300.84 
2020/3/27,292.43 
2020/3/30,298.45 
2020/3/31,289.72 
2020/4/1,261.17 
2020/4/6,261.52 
2020/4/7,271.28 
2020/4/8,295.62 
2020/4/9,369.70 
2020/4/10,384.68 
2020/4/13,405.63 
2020/4/14,421.79 
2020/4/15,448.22 
2020/4/16,454.35 
2020/4/17,452.15 
2020/4/20,445.58 
2020/4/21,435.82 
2020/4/22,435.78 
2020/4/23,446.82 
2020/4/24,447.30 
2020/4/27,464.21 
2020/4/28,481.77 
2020/4/29,524.74 
2020/4/30,592.23 
2020/5/4,573.58 
2020/5/5,568.24 
2020/5/6,562.91 
2020/5/7,565.57 
2020/5/8,559.74 
2020/5/11,577.73 
2020/5/12,564.29 
2020/5/13,569.75 
2020/5/14,556.31 
2020/5/15,561.69 
2020/5/18,575.13 
2020/5/19,575.13 
2020/5/20,597.99 
2020/5/21,638.85 
2020/5/22,643.83 
2020/5/25,643.83 
2020/5/26,655.80 
2020/5/27,647.70 
2020/5/28,685.30 
2020/5/29,718.02 
2020/6/1,814.08 
2020/6/2,835.72 
2020/6/3,841.31 
2020/6/4,826.34 
2020/6/5,823.79 
2020/6/8,806.45 
2020/6/9,839.04 
2020/6/10,827.33 
2020/6/11,796.39 
2020/6/12,792.25 
2020/6/15,784.92 
2020/6/16,830.52 
2020/6/17,830.52 
2020/6/18,733.00 
2020/6/19,654.75 
2020/6/22,638.51 
2020/6/23,634.54 
2020/6/24,631.81 
2020/6/29,631.81 
2020/6/30,587.95 
2020/7/1,593.36 
2020/7/2,586.96 
2020/7/3,596.96 
2020/7/6,596.79 
2020/7/7,636.98 
2020/7/8,575.71 
2020/7/9,560.50 
2020/7/10,480.36 
2020/7/13,433.25 
2020/7/14,399.87 
2020/7/15,402.08 
2020/7/16,409.72 
2020/7/17,402.11 
2020/7/20,398.82 
2020/7/21,404.10 
2020/7/22,395.26 
2020/7/23,387.96 
2020/7/24,382.38 
2020/7/27,385.86 
2020/7/28,380.44 
2020/7/29,389.32 
2020/7/30,392.87 
2020/7/31,391.09 
2020/8/3,392.62 
2020/8/4,394.42 
2020/8/5,392.65 
2020/8/6,394.63 
2020/8/7,403.48 
2020/8/10,453.04 
2020/8/11,463.04 
2020/8/12,456.60 
2020/8/13,464.93 
2020/8/14,549.10 
2020/8/17,697.93 
2020/8/18,766.10 
2020/8/19,872.32 
2020/8/20,959.85 
2020/8/21,1125.91 
2020/8/24,1281.91 
2020/8/25,1597.48 
2020/8/26,1686.63 
2020/8/27,1705.13 
2020/8/28,1730.45 
2020/8/31,1976.81 
2020/9/1,1956.53 
2020/9/2,1952.54 
2020/9/3,2110.53 
2020/9/4,2361.66 
2020/9/7,2432.02 
2020/9/8,2488.58 
2020/9/9,2555.58 
2020/9/10,2700.36 
2020/9/11,2529.05 
2020/9/14,2015.03 
2020/9/15,1950.58 
2020/9/16,1409.02 
2020/9/17,1322.76 
2020/9/18,1293.98 
2020/9/21,1217.91 
2020/9/22,1179.36 
2020/9/23,839.54 
2020/9/24,635.20 
2020/9/25,668.30 
2020/9/28,656.15 
2020/9/29,623.22 
2020/9/30,643.54 
2020/10/5,651.45 
2020/10/6,665.52 
2020/10/7,665.77 
2020/10/8,584.50 
2020/10/12,543.07 
2020/10/13,570.96 
2020/10/14,580.70 
2020/10/15,596.93 
2020/10/16,605.57 
2020/10/19,649.06 
2020/10/20,658.08 
2020/10/21,654.42 
2020/10/22,656.25 
2020/10/23,718.15 
2020/10/26,745.67 
2020/10/27,738.33 
2020/10/28,699.21 
2020/10/29,710.53 
2020/10/30,932.68 
2020/11/2,1254.32 
2020/11/3,1301.36 
2020/11/4,1469.10 
2020/11/5,1527.06 
2020/11/6,1596.72 
2020/11/9,1925.88 
2020/11/10,1804.46 
2020/11/11,1715.69 
2020/11/12,1663.68 
2020/11/13,1666.75 
2020/11/16,1661.26 
2020/11/17,1767.36 
2020/11/18,1990.98 
2020/11/19,1950.92 
2020/11/20,2085.81 
2020/11/23,2215.74 
2020/11/24,2191.05 
2020/11/25,2373.10 
2020/11/26,2525.27 
2020/11/27,2358.09 
2020/11/30,2179.31 
2020/12/1,2106.11 
2020/12/2,2091.48 
2020/12/3,2001.68 
2020/12/4,1813.55 
2020/12/7,1730.75 
2020/12/8,1995.95 
2020/12/9,2355.92 
2020/12/10,2344.08 
2020/12/11,2124.05 
2020/12/14,2377.97 
2020/12/15,2397.92 
2020/12/16,2461.57 
2020/12/17,2487.47 
2020/12/18,2778.82 
2020/12/21,3052.54 
2020/12/22,2820.86 
2020/12/23,2762.39 
2020/12/24,2815.79 
2020/12/25,3153.03 
2020/12/28,3527.45 
2020/12/29,3478.73 
2020/12/30,3373.17 
2020/12/31,3597.19 
2021/1/4,3905.33 
2021/1/5,3840.52 
2021/1/6,3370.56 
